6,1,1,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,-1,6,4,3,0,5,2
6,2,2,1,0,4,0,0,4,0,0,0,0,0,1,2,1,2,-1,0,6,4,0,3,1
6,3,3,0,0,0,0,2,0,0,1,0,0,0,1,1,1,0,0,0,4,0,1,3,2
6,4,4,0,0,4,1,0,4,0,0,0,0,0,1,3,1,0,0,4,6,0,2,5,1
6,5,5,0,0,2,0,0,3,0,1,3,2,0,3,1,1,2,-2,6,4,0,3,6,7
6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,6,0,0,0,0,1,0,0,4,0,0,0,2,4,14,0,0,0,6,1,0,3,2
6,8,7,0,0,6,0,0,1,0,0,0,0,0,1,1,1,0,0,3,4,3,0,5,1
6,9,8,0,0,3,2,0,0,0,2,3,0,0,2,5,15,0,0,6,6,2,0,6,2
6,10,9,0,0,4,3,0,1,0,0,0,0,0,1,1,1,0,0,3,4,3,0,5,1
6,11,10,0,0,5,1,0,0,0,2,3,0,0,2,6,7,0,0,0,6,0,1,3,2
6,12,11,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,6,4,0,4,6,7
6,13,12,0,0,1,3,0,0,0,2,3,3,0,0,0,0,2,-2,2,1,0,3,5,5
6,14,13,0,0,0,2,0,0,0,4,0,0,0,3,1,1,0,0,6,4,1,0,6,2
6,15,14,0,0,6,0,0,1,0,0,0,0,0,1,2,1,2,-2,2,6,3,0,5,1
6,16,15,0,0,2,3,0,0,0,4,0,0,0,1,1,1,0,0,0,4,0,2,3,2
6,17,16,0,0,4,0,0,1,3,0,0,0,0,1,2,1,0,0,6,6,3,0,6,1
6,18,17,0,0,0,2,0,1,0,1,0,1,0,3,1,1,0,0,2,4,0,2,5,7
6,19,18,0,0,4,1,0,0,0,1,3,0,0,2,2,1,-3,0,6,1,0,1,6,2
6,20,19,0,0,0,0,0,0,0,1,3,0,0,1,1,1,2,-2,1,4,0,4,5,2
6,21,20,0,0,2,3,0,1,0,1,0,0,0,3,2,1,0,0,0,1,3,0,6,6
6,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,23,21,0,0,0,0,0,0,0,4,0,0,0,1,1,1,0,0,6,6,0,3,3,2
6,24,22,0,0,3,2,0,1,0,1,0,1,0,2,2,1,0,0,1,4,3,0,5,7
6,25,23,0,0,0,0,0,1,2,0,0,0,0,1,3,8,0,0,6,3,0,12,6,1
