new square = ['6', '12', '11', '0', '0', '0', '0', '0', '1', '0', '1', '0', '1', '0', '1', '1', '1', '0', '0', '6', '4', '4', '4', '6', '7']
current square = ['6', '20', '19', '0', '0', '0', '0', '0', '0', '0', '1', '3', '0', '0', '1', '1', '1', '2', '-2', '1', '4', '4', '4', '5', '2']
new square = ['6', '20', '19', '0', '0', '0', '0', '0', '0', '0', '1', '3', '0', '0', '1', '1', '1', '2', '-2', '1', '4', '4', '4', '5', '2']
current square = ['6', '25', '23', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '1', '3', '8', '0', '0', '6', '3', '4', '4', '6', '1']
new square = ['6', '25', '23', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '1', '3', '8', '0', '0', '6', '3', '4', '4', '6', '1']
current square = ['6', '31', '29', '0', '0', '4', '2', '0', '0', '0', '1', '0', '0', '0', '2', '5', '10', '0', '0', '1', '4', '4', '4', '5', '2']
new square = ['6', '31', '29', '0', '0', '4', '2', '0', '0', '0', '1', '0', '0', '0', '2', '5', '10', '0', '0', '1', '4', '4', '4', '5', '2']
current square = ['6', '35', '33', '0', '0', '0', '2', '0', '0', '0', '4', '0', '0', '0', '2', '3', '14', '0', '0', '0', '1', '4', '4', '5', '2']
new square = ['6', '35', '33', '0', '0', '0', '2', '0', '0', '0', '4', '0', '0', '0', '2', '3', '14', '0', '0', '0', '1', '4', '4', '5', '2']
current square = ['6', '40', '38', '0', '0', '4', '1', '0', '1', '0', '0', '0', '0', '0', '1', '2', '1', '0', '0', '5', '4', '4', '4', '5', '1']
new square = ['6', '40', '38', '0', '0', '4', '1', '0', '1', '0', '0', '0', '0', '0', '1', '2', '1', '0', '0', '5', '4', '4', '4', '5', '1']
current square = ['6', '42', '40', '0', '0', '4', '2', '0', '0', '0', '1', '3', '3', '0', '3', '2', '1', '0', '0', '6', '4', '4', '4', '0', '5']
new square = ['6', '42', '40', '0', '0', '4', '2', '0', '0', '0', '1', '3', '3', '0', '3', '2', '1', '0', '0', '6', '4', '4', '4', '0', '5']
current square = ['6', '46', '44', '0', '0', '0', '3', '0', '0', '0', '0', '0', '1', '0', '3', '6', '17', '1', '-2', '0', '1', '4', '4', '3', '3']
new square = ['6', '46', '44', '0', '0', '0', '3', '0', '0', '0', '0', '0', '1', '0', '3', '6', '17', '1', '-2', '0', '1', '4', '4', '3', '3']
current square = ['6', '49', '46', '0', '0', '0', '3', '0', '1', '0', '1', '0', '0', '0', '2', '5', '15', '0', '0', '5', '2', '4', '4', '5', '6']
new square = ['6', '49', '46', '0', '0', '0', '3', '0', '1', '0', '1', '0', '0', '0', '2', '5', '15', '0', '0', '5', '2', '4', '4', '5', '6']
current square = ['6', '51', '48', '0', '0', '0', '0', '1', '0', '0', '4', '0', '0', '0', '2', '4', '8', '0', '0', '0', '0', '4', '4', '3', '2']
new square = ['6', '51', '48', '0', '0', '0', '0', '1', '0', '0', '4', '0', '0', '0', '2', '4', '8', '0', '0', '0', '0', '4', '4', '3', '2']
current square = ['6', '53', '50', '0', '0', '4', '0', '0', '4', '0', '0', '0', '0', '0', '1', '3', '1', '1', '0', '6', '3', '4', '4', '4', '1']
new square = ['6', '53', '50', '0', '0', '4', '0', '0', '4', '0', '0', '0', '0', '0', '1', '3', '1', '1', '0', '6', '3', '4', '4', '4', '1']
current square = ['6', '55', '52', '0', '0', '4', '0', '2', '4', '0', '0', '0', '0', '0', '1', '2', '1', '0', '0', '0', '6', '4', '4', '3', '1']
new square = ['6', '55', '52', '0', '0', '4', '0', '2', '4', '0', '0', '0', '0', '0', '1', '2', '1', '0', '0', '0', '6', '4', '4', '3', '1']
current square = ['7', '7', '7', '0', '0', '0', '1', '0', '1', '2', '2', '0', '0', '0', '2', '6', '1', '1', '-1', '5', '0', '4', '4', '4', '6']
new square = ['7', '7', '7', '0', '0', '0', '1', '0', '1', '2', '2', '0', '0', '0', '2', '6', '1', '1', '-1', '5', '0', '4', '4', '4', '6']
current square = ['7', '10', '9', '0', '0', '0', '1', '0', '1', '0', '1', '0', '0', '0', '2', '6', '14', '0', '0', '5', '0', '4', '4', '4', '6']
new square = ['7', '10', '9', '0', '0', '0', '1', '0', '1', '0', '1', '0', '0', '0', '2', '6', '14', '0', '0', '5', '0', '4', '4', '4', '6']
current square = ['1', '1', '1', '1', '0', '6', '0', '2', '0', '0', '0', '0', '2', '0', '3', '5', '3', '-1', '0', '1', '5', '4', '4', '6', '3']
new square = ['1', '1', '1', '1', '0', '6', '0', '2', '0', '0', '0', '0', '2', '0', '3', '5', '3', '-1', '0', '1', '5', '4', '4', '6', '3']
current square = ['1', '3', '3', '0', '0', '1', '0', '2', '0', '0', '0', '0', '1', '0', '0', '0', '0', '-3', '0', '2', '5', '4', '4', '5', '3']
new square = ['1', '3', '3', '0', '0', '1', '0', '2', '0', '0', '0', '0', '1', '0', '0', '0', '0', '-3', '0', '2', '5', '4', '4', '5', '3']
current square = ['1', '6', '6', '0', '0', '3', '2', '0', '0', '0', '1', '0', '0', '0', '2', '3', '1', '0', '0', '2', '5', '4', '4', '4', '2']
new square = ['1', '6', '6', '0', '0', '3', '2', '0', '0', '0', '1', '0', '0', '0', '2', '3', '1', '0', '0', '2', '5', '4', '4', '4', '2']
current square = ['1', '8', '8', '0', '0', '6', '3', '0', '2', '0', '0', '0', '0', '0', '1', '4', '1', '0', '0', '3', '6', '4', '4', '1', '1']
new square = ['1', '8', '8', '0', '0', '6', '3', '0', '2', '0', '0', '0', '0', '0', '1', '4', '1', '0', '0', '3', '6', '4', '4', '1', '1']
current square = ['1', '11', '10', '0', '0', '6', '3', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '3', '4', '4', '0', '1']
new square = ['1', '11', '10', '0', '0', '6', '3', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '3', '4', '4', '0', '1']
current square = ['1', '14', '13', '0', '0', '3', '0', '2', '0', '0', '2', '0', '0', '0', '2', '3', '1', '0', '0', '3', '5', '4', '4', '1', '2']
new square = ['1', '14', '13', '0', '0', '3', '0', '2', '0', '0', '2', '0', '0', '0', '2', '3', '1', '0', '0', '3', '5', '4', '4', '1', '2']
current square = ['1', '16', '15', '0', '0', '3', '0', '2', '0', '0', '1', '0', '0', '0', '1', '1', '1', '0', '0', '2', '2', '4', '4', '0', '2']
new square = ['1', '16', '15', '0', '0', '3', '0', '2', '0', '0', '1', '0', '0', '0', '1', '1', '1', '0', '0', '2', '2', '4', '4', '0', '2']
current square = ['1', '19', '18', '0', '0', '6', '0', '3', '2', '0', '2', '0', '2', '0', '0', '0', '0', '0', '0', '3', '0', '4', '4', '0', '7']
new square = ['1', '19', '18', '0', '0', '6', '0', '3', '2', '0', '2', '0', '2', '0', '0', '0', '0', '0', '0', '3', '0', '4', '4', '0', '7']
current square = ['1', '22', '21', '0', '0', '3', '0', '2', '0', '0', '2', '0', '0', '0', '2', '2', '1', '1', '0', '2', '5', '4', '4', '6', '2']
new square = ['1', '22', '21', '0', '0', '3', '0', '2', '0', '0', '2', '0', '0', '0', '2', '2', '1', '1', '0', '2', '5', '4', '4', '6', '2']
